"customer_key";"customer_number";"customer_name";"age";"total_orders";"total_sales";"total_quantity";"total_products";"lifespan";"age_group";"customer_segment";"last_order";"recency";"avg_order_value";"avg_monthly_spends"
62;"AW00011061";"Todd Gao";50;3;8129.0;6.0;6;27;"50 and Above";"VIP";"2013-06-14";155;2709.67;301.07
63;"AW00011062";"Noah Powell";45;1;2352.0;3.0;3;0;"40-49";"New";"2013-01-07";160;2352.0;2352.0
64;"AW00011063";"Angela Murphy";45;1;2373.0;5.0;5;0;"40-49";"New";"2013-01-12";160;2373.0;2373.0
65;"AW00011064";"Chase Reed";44;1;2305.0;2.0;2;0;"40-49";"New";"2013-01-25";160;2305.0;2305.0
66;"AW00011065";"Jessica Henderson";47;2;202.0;5.0;4;11;"40-49";"New";"2014-01-10";148;101.0;18.36
67;"AW00011066";"Grace Butler";47;2;81.0;5.0;5;3;"40-49";"New";"2013-09-19";152;40.5;27.0
68;"AW00011067";"Caleb Carter";44;2;105.0;6.0;6;4;"40-49";"New";"2014-01-12";148;52.5;26.25
69;"AW00011068";"Tiffany Liang";59;3;113.0;9.0;8;5;"50 and Above";"New";"2013-10-08";151;37.67;22.6
70;"AW00011069";"Carolyn Navarro";59;3;8104.0;3.0;3;25;"50 and Above";"VIP";"2013-06-04";155;2701.33;324.16
71;"AW00011070";"Willie Raji";65;3;8165.0;10.0;9;25;"50 and Above";"VIP";"2013-06-26";155;2721.67;326.6
72;"AW00011071";"Linda Serrano";65;3;110.0;7.0;6;9;"50 and Above";"New";"2013-12-01";149;36.67;12.22
73;"AW00011072";"Casey Luo";65;3;8194.0;7.0;7;26;"50 and Above";"VIP";"2013-06-15";155;2731.33;315.15
74;"AW00011073";"Amy Ye";64;3;192.0;10.0;9;4;"50 and Above";"New";"2013-08-21";153;64.0;48.0
75;"AW00011074";"Levi Arun";64;3;94.0;7.0;7;2;"50 and Above";"New";"2013-05-27";156;31.33;47.0
76;"AW00011075";"Felicia Jimenez";63;3;8068.0;5.0;5;25;"50 and Above";"VIP";"2013-06-24";155;2689.33;322.72
77;"AW00011076";"Blake Anderson";63;3;8159.0;4.0;4;26;"50 and Above";"VIP";"2013-06-21";155;2719.67;313.81
78;"AW00011077";"Leah Ye";63;3;8169.0;5.0;5;25;"50 and Above";"VIP";"2013-06-12";155;2723.0;326.76
79;"AW00011078";"Gina Martin";41;17;912.0;31.0;23;11;"40-49";"New";"2014-01-28";148;53.65;82.91
80;"AW00011079";"Donald Gonzalez";56;3;58.0;5.0;5;9;"50 and Above";"New";"2014-01-01";148;19.33;6.44
81;"AW00011080";"Damien Chander";61;3;8204.0;7.0;7;26;"50 and Above";"VIP";"2013-06-23";155;2734.67;315.54
82;"AW00011081";"Savannah Baker";54;2;104.0;5.0;5;2;"50 and Above";"New";"2013-04-13";157;52.0;52.0
83;"AW00011082";"Angela Butler";54;2;3110.0;6.0;6;9;"50 and Above";"New";"2013-11-06";150;1555.0;345.56
84;"AW00011083";"Alyssa Cox";49;2;3137.0;5.0;5;10;"40-49";"New";"2013-11-08";150;1568.5;313.7
85;"AW00011084";"Lucas Phillips";63;2;3078.0;5.0;5;10;"50 and Above";"New";"2013-11-21";150;1539.0;307.8
86;"AW00011085";"Emily Johnson";63;2;129.0;5.0;5;1;"50 and Above";"New";"2014-01-08";148;64.5;129.0
87;"AW00011086";"Ryan Brown";62;2;153.0;6.0;6;5;"50 and Above";"New";"2013-12-21";149;76.5;30.6
88;"AW00011087";"Tamara Liang";63;2;200.0;4.0;4;5;"50 and Above";"New";"2013-08-09";153;100.0;40.0
89;"AW00011088";"Hunter Davis";63;2;3176.0;7.0;7;9;"50 and Above";"New";"2013-11-12";150;1588.0;352.89
90;"AW00011089";"Abigail Price";63;2;3188.0;7.0;7;10;"50 and Above";"New";"2013-11-18";150;1594.0;318.8
91;"AW00011090";"Trevor Bryant";57;3;6703.0;6.0;6;27;"50 and Above";"VIP";"2013-11-21";150;2234.33;248.26
92;"AW00011091";"Dalton Perez";63;28;1186.0;59.0;25;11;"50 and Above";"New";"2014-01-08";148;42.36;107.82
93;"AW00011092";"Cheryl Diaz";53;3;8110.0;5.0;5;26;"50 and Above";"VIP";"2013-06-21";155;2703.33;311.92
94;"AW00011093";"Aimee He";47;3;8180.0;7.0;7;26;"40-49";"VIP";"2013-06-08";155;2726.67;314.62
95;"AW00011094";"Cedric Ma";58;3;236.0;8.0;8;9;"50 and Above";"New";"2014-01-11";148;78.67;26.22
96;"AW00011095";"Chad Kumar";58;3;8158.0;7.0;7;26;"50 and Above";"VIP";"2013-06-25";155;2719.33;313.77
97;"AW00011096";"Andr├®s Anand";58;3;8063.0;4.0;4;27;"50 and Above";"VIP";"2013-07-30";154;2687.67;298.63
98;"AW00011097";"Edwin Nara";53;3;8099.0;5.0;5;27;"50 and Above";"VIP";"2013-07-24";154;2699.67;299.96
99;"AW00011098";"Mallory Rubio";59;3;89.0;4.0;4;8;"50 and Above";"New";"2013-10-16";151;29.67;11.13
100;"AW00011099";"Adam Ross";59;3;8216.0;9.0;8;26;"50 and Above";"VIP";"2013-07-01";154;2738.67;316.0
101;"AW00011100";"Latasha Navarro";60;3;8172.0;7.0;7;27;"50 and Above";"VIP";"2013-08-07";153;2724.0;302.67
102;"AW00011101";"Abby Sai";55;3;8262.0;7.0;7;26;"50 and Above";"VIP";"2013-06-29";155;2754.0;317.77
103;"AW00011102";"Julia Nelson";55;3;103.0;5.0;5;4;"50 and Above";"New";"2013-12-09";149;34.33;25.75
104;"AW00011103";"Cassie Chande";45;3;8182.0;8.0;8;25;"40-49";"VIP";"2013-06-06";155;2727.33;327.28
105;"AW00011104";"Edgar Sara";51;3;8173.0;6.0;6;25;"50 and Above";"VIP";"2013-06-15";155;2724.33;326.92
106;"AW00011105";"Candace Fernandez";55;3;8096.0;5.0;5;24;"50 and Above";"VIP";"2013-06-05";155;2698.67;337.33
107;"AW00011106";"Jessie Liu";56;3;8079.0;3.0;3;24;"50 and Above";"VIP";"2013-06-15";155;2693.0;336.63
108;"AW00011107";"Bianca Lin";50;3;8171.0;6.0;6;25;"50 and Above";"VIP";"2013-06-21";155;2723.67;326.84
109;"AW00011108";"Kari Alvarez";57;3;8124.0;5.0;5;25;"50 and Above";"VIP";"2013-06-23";155;2708.0;324.96
110;"AW00011109";"Ruben Kapoor";46;3;8245.0;8.0;8;25;"40-49";"VIP";"2013-06-24";155;2748.33;329.8
111;"AW00011110";"Curtis Yang";58;3;8093.0;5.0;5;27;"50 and Above";"VIP";"2013-08-20";153;2697.67;299.74
112;"AW00011111";"Meredith Gutierrez";58;3;8137.0;8.0;8;27;"50 and Above";"VIP";"2013-08-22";153;2712.33;301.37
113;"AW00011112";"Crystal Wang";58;3;8295.0;6.0;6;27;"50 and Above";"VIP";"2013-09-02";152;2765.0;307.22
114;"AW00011113";"Micheal Blanco";53;3;110.0;7.0;7;2;"50 and Above";"New";"2013-04-21";157;36.67;55.0
115;"AW00011114";"Leslie Moreno";58;3;123.0;7.0;6;9;"50 and Above";"New";"2013-12-26";149;41.0;13.67
116;"AW00011115";"Alvin Cai";58;3;114.0;6.0;6;10;"50 and Above";"New";"2014-01-02";148;38.0;11.4
117;"AW00011116";"Clinton Carlson";47;3;149.0;7.0;7;7;"40-49";"New";"2013-10-16";151;49.67;21.29
118;"AW00011117";"April Deng";59;3;8185.0;8.0;8;25;"50 and Above";"VIP";"2013-06-25";155;2728.33;327.4
119;"AW00011118";"Alvin Zeng";63;3;124.0;8.0;6;6;"50 and Above";"New";"2014-01-26";148;41.33;20.67
120;"AW00011119";"Evan James";85;2;85.0;4.0;4;9;"50 and Above";"New";"2013-11-23";150;42.5;9.44
121;"AW00011120";"Beth Jim├®nez";84;3;8242.0;10.0;10;28;"50 and Above";"VIP";"2013-09-19";152;2747.33;294.36
122;"AW00011121";"Orlando Suarez";60;3;58.0;6.0;5;4;"50 and Above";"New";"2013-11-04";150;19.33;14.5
123;"AW00011122";"Byron Vazquez";60;3;43.0;3.0;3;6;"50 and Above";"New";"2013-08-22";153;14.33;7.17
124;"AW00011123";"Philip Alvarez";60;3;150.0;8.0;7;9;"50 and Above";"New";"2014-01-25";148;50.0;16.67
125;"AW00011124";"Ross Jordan";57;3;8129.0;6.0;6;25;"50 and Above";"VIP";"2013-06-18";155;2709.67;325.16
126;"AW00011125";"Dana Navarro";64;3;79.0;7.0;7;5;"50 and Above";"New";"2013-07-03";154;26.33;15.8
127;"AW00011126";"Shaun Carson";71;3;4971.0;8.0;7;29;"50 and Above";"Regular";"2013-11-03";150;1657.0;171.41
128;"AW00011127";"Jan Edwards";45;2;44.0;3.0;3;5;"40-49";"New";"2013-10-01";151;22.0;8.8
129;"AW00011128";"Samantha Long";44;2;144.0;7.0;7;1;"40-49";"New";"2013-08-12";153;72.0;144.0
130;"AW00011129";"Julia Wright";45;2;5873.0;2.0;2;17;"40-49";"VIP";"2013-01-09";160;2936.5;345.47
131;"AW00011130";"Caroline Russell";40;1;37.0;2.0;2;0;"40-49";"New";"2013-12-09";149;37.0;37.0
132;"AW00011131";"Amanda Rivera";40;5;166.0;9.0;9;3;"40-49";"New";"2014-01-23";148;33.2;55.33
133;"AW00011132";"Melissa Richardson";40;1;2372.0;6.0;6;0;"40-49";"New";"2013-04-09";157;2372.0;2372.0
134;"AW00011133";"Angela Griffin";40;1;72.0;4.0;4;0;"40-49";"New";"2013-12-30";149;72.0;72.0
135;"AW00011134";"Larry Townsend";69;3;4911.0;3.0;3;30;"50 and Above";"Regular";"2013-11-03";150;1637.0;163.7
136;"AW00011135";"Marcus Harris";41;1;2335.0;3.0;3;0;"40-49";"New";"2013-04-18";157;2335.0;2335.0
137;"AW00011136";"Brianna Morgan";42;1;2381.0;3.0;3;0;"40-49";"New";"2013-01-03";160;2381.0;2381.0
138;"AW00011137";"Jasmine Taylor";42;2;202.0;5.0;4;5;"40-49";"New";"2014-01-20";148;101.0;40.4
139;"AW00011138";"Lauren Davis";42;2;79.0;4.0;4;3;"40-49";"New";"2013-12-31";149;39.5;26.33
140;"AW00011139";"Tanya Moreno";76;2;84.0;3.0;3;1;"50 and Above";"New";"2013-10-17";151;42.0;84.0
141;"AW00011140";"Javier Alvarez";43;1;40.0;2.0;2;0;"40-49";"New";"2013-03-19";158;40.0;40.0
142;"AW00011141";"Nicole Ramirez";43;2;114.0;5.0;5;4;"40-49";"New";"2013-09-28";152;57.0;28.5
143;"AW00011142";"Eduardo Patterson";43;17;979.0;36.0;23;11;"40-49";"New";"2014-01-13";148;57.59;89.0
144;"AW00011143";"Jonathan Henderson";43;2;48.0;5.0;4;6;"40-49";"New";"2013-12-19";149;24.0;8.0
145;"AW00011144";"Edward Hernandez";41;1;2400.0;3.0;3;0;"40-49";"New";"2013-01-25";160;2400.0;2400.0
146;"AW00011145";"Jasmine Coleman";40;1;2310.0;3.0;3;0;"40-49";"New";"2013-01-25";160;2310.0;2310.0
147;"AW00011146";"Karla Goel";81;3;113.0;7.0;6;7;"50 and Above";"New";"2013-09-15";152;37.67;16.14
148;"AW00011147";"Ernest Wu";81;3;8195.0;7.0;7;29;"50 and Above";"VIP";"2013-10-16";151;2731.67;282.59
149;"AW00011148";"Ross Vazquez";79;3;126.0;6.0;5;8;"50 and Above";"New";"2013-12-03";149;42.0;15.75
150;"AW00011149";"Theodore Gill";79;3;41.0;4.0;4;5;"50 and Above";"New";"2013-11-29";150;13.67;8.2
151;"AW00011150";"Russell Shen";79;3;192.0;8.0;7;3;"50 and Above";"New";"2013-07-15";154;64.0;64.0
152;"AW00011151";"Melinda Gill";78;3;8087.0;6.0;6;29;"50 and Above";"VIP";"2013-10-20";151;2695.67;278.86
153;"AW00011152";"James Williams";44;1;2295.0;1.0;1;0;"40-49";"New";"2013-01-09";160;2295.0;2295.0
154;"AW00011153";"Angela James";44;2;110.0;5.0;5;0;"40-49";"New";"2013-03-29";158;55.0;110.0
155;"AW00011154";"Megan Walker";44;1;2320.0;1.0;1;0;"40-49";"New";"2013-01-10";160;2320.0;2320.0
156;"AW00011155";"Hunter Robinson";44;1;2320.0;1.0;1;0;"40-49";"New";"2013-01-06";160;2320.0;2320.0
157;"AW00011156";"Maria Roberts";44;1;2390.0;4.0;4;0;"40-49";"New";"2013-01-08";160;2390.0;2390.0
158;"AW00011157";"Hannah Long";45;2;41.0;3.0;3;1;"40-49";"New";"2013-09-11";152;20.5;41.0
159;"AW00011158";"Jason Wright";45;1;2396.0;3.0;3;0;"40-49";"New";"2013-01-19";160;2396.0;2396.0
160;"AW00011159";"Brianna Hughes";45;2;48.0;5.0;4;1;"40-49";"New";"2013-11-07";150;24.0;48.0
161;"AW00011160";"Maurice Tang";46;1;2322.0;2.0;2;0;"40-49";"New";"2013-02-21";159;2322.0;2322.0
162;"AW00011161";"Emily Wood";46;2;94.0;6.0;6;5;"40-49";"New";"2013-11-11";150;47.0;18.8
163;"AW00011162";"Chase Cox";46;1;2330.0;2.0;2;0;"40-49";"New";"2013-02-18";159;2330.0;2330.0
164;"AW00011163";"Gabriel Wang";45;2;46.0;4.0;4;3;"40-49";"New";"2013-08-05";153;23.0;15.33
165;"AW00011164";"Devin Brooks";46;2;145.0;6.0;6;3;"40-49";"New";"2013-08-05";153;72.5;48.33
166;"AW00011165";"Jocelyn Alexander";47;2;103.0;3.0;3;0;"40-49";"New";"2013-06-05";155;51.5;103.0
167;"AW00011166";"Ashley Martinez";48;2;88.0;5.0;5;1;"40-49";"New";"2013-12-06";149;44.0;88.0
168;"AW00011167";"Jasmine Barnes";48;2;3126.0;4.0;4;10;"40-49";"New";"2013-11-28";150;1563.0;312.6
169;"AW00011168";"David Rodriguez";52;2;3136.0;7.0;7;10;"50 and Above";"New";"2013-11-16";150;1568.0;313.6
170;"AW00011169";"Bryce Richardson";52;2;81.0;5.0;5;3;"50 and Above";"New";"2013-09-24";152;40.5;27.0
171;"AW00011170";"Carol Howard";52;2;157.0;7.0;7;4;"50 and Above";"New";"2013-12-29";149;78.5;39.25
172;"AW00011171";"Jonathan Hill";47;3;6716.0;8.0;8;26;"40-49";"VIP";"2013-11-07";150;2238.67;258.31
173;"AW00011172";"Gabrielle Adams";53;2;129.0;7.0;6;8;"50 and Above";"New";"2014-01-11";148;64.5;16.13
174;"AW00011173";"Sarah Thomas";53;2;103.0;3.0;3;9;"50 and Above";"New";"2013-12-24";149;51.5;11.44
175;"AW00011174";"Nicholas Robinson";53;2;48.0;5.0;4;0;"50 and Above";"New";"2013-07-25";154;24.0;48.0
176;"AW00011175";"Luis Wang";57;3;6710.0;8.0;8;26;"50 and Above";"VIP";"2013-11-03";150;2236.67;258.08
177;"AW00011176";"Mason Roberts";47;28;1317.0;60.0;27;11;"40-49";"New";"2014-01-27";148;47.04;119.73
178;"AW00011177";"Jose Flores";78;2;135.0;6.0;6;6;"50 and Above";"New";"2013-10-14";151;67.5;22.5
179;"AW00011178";"Nathan Johnson";71;2;145.0;6.0;6;3;"50 and Above";"New";"2013-05-26";156;72.5;48.33
180;"AW00011179";"Molly Rodriguez";66;2;125.0;6.0;6;9;"50 and Above";"New";"2014-01-09";148;62.5;13.89
181;"AW00011180";"April Anand";77;2;138.0;6.0;6;6;"50 and Above";"New";"2013-09-25";152;69.0;23.0
182;"AW00011181";"Devin Martin";66;2;41.0;3.0;3;2;"50 and Above";"New";"2013-07-11";154;20.5;20.5
183;"AW00011182";"Stephanie Torres";76;2;81.0;5.0;5;4;"50 and Above";"New";"2014-01-05";148;40.5;20.25
184;"AW00011183";"Jasmine Lee";76;2;46.0;4.0;4;1;"50 and Above";"New";"2013-06-13";155;23.0;46.0
185;"AW00011184";"Meghan Hernandez";70;2;68.0;5.0;5;1;"50 and Above";"New";"2013-10-09";151;34.0;68.0
186;"AW00011185";"Ashley Henderson";76;27;1616.0;68.0;29;11;"50 and Above";"New";"2014-01-26";148;59.85;146.91
187;"AW00011186";"Sarah Price";76;2;41.0;3.0;3;2;"50 and Above";"New";"2014-01-07";148;20.5;20.5
188;"AW00011187";"Jennifer Cooper";76;2;108.0;4.0;4;4;"50 and Above";"New";"2013-08-06";153;54.0;27.0
189;"AW00011188";"Catherine Morris";76;2;81.0;5.0;5;2;"50 and Above";"New";"2014-01-21";148;40.5;40.5
190;"AW00011189";"Lawrence Blanco";76;2;5944.0;6.0;6;17;"50 and Above";"VIP";"2013-02-05";159;2972.0;349.65
191;"AW00011190";"Carson Bryant";76;2;46.0;4.0;4;4;"50 and Above";"New";"2014-01-16";148;23.0;11.5
192;"AW00011191";"Kristi Perez";74;3;6743.0;7.0;7;26;"50 and Above";"VIP";"2013-11-06";150;2247.67;259.35
193;"AW00011192";"James Brown";75;2;114.0;5.0;5;3;"50 and Above";"New";"2013-09-25";152;57.0;38.0
194;"AW00011193";"Ian Gray";75;2;41.0;3.0;3;5;"50 and Above";"New";"2013-08-18";153;20.5;8.2
195;"AW00011194";"Jacqueline Price";75;2;105.0;6.0;6;8;"50 and Above";"New";"2013-12-08";149;52.5;13.13
196;"AW00011195";"Megan Henderson";74;2;105.0;6.0;6;6;"50 and Above";"New";"2013-10-22";151;52.5;17.5
197;"AW00011196";"Alfredo Romero";74;2;162.0;4.0;4;6;"50 and Above";"New";"2013-09-24";152;81.0;27.0
198;"AW00011197";"Andrea Morris";74;2;207.0;6.0;5;2;"50 and Above";"New";"2013-07-20";154;103.5;103.5
199;"AW00011198";"Brooke Sanders";74;2;98.0;4.0;4;0;"50 and Above";"New";"2013-02-13";159;49.0;98.0
200;"AW00011199";"Jacqueline Bennett";68;2;132.0;6.0;6;6;"50 and Above";"New";"2013-10-17";151;66.0;22.0
201;"AW00011200";"Jason Griffin";73;27;1461.0;55.0;26;11;"50 and Above";"New";"2014-01-20";148;54.11;132.82
202;"AW00011201";"Amanda Foster";73;2;181.0;6.0;6;2;"50 and Above";"New";"2013-09-09";152;90.5;90.5
203;"AW00011202";"Alexia Price";67;2;74.0;3.0;3;0;"50 and Above";"New";"2013-09-21";152;37.0;74.0
204;"AW00011203";"Luis Diaz";66;17;800.0;32.0;19;9;"50 and Above";"New";"2013-12-11";149;47.06;88.89
205;"AW00011204";"Destiny Rivera";72;2;77.0;4.0;4;3;"50 and Above";"New";"2013-11-10";150;38.5;25.67
206;"AW00011205";"Abby Fernandez";72;2;37.0;2.0;2;2;"50 and Above";"New";"2013-10-08";151;18.5;18.5
207;"AW00011206";"Blake Flores";72;2;77.0;4.0;4;0;"50 and Above";"New";"2013-05-30";156;38.5;77.0
208;"AW00011207";"Danielle Cox";72;2;77.0;4.0;4;8;"50 and Above";"New";"2013-10-18";151;38.5;9.63
209;"AW00011208";"Maria Reed";72;2;134.0;7.0;7;6;"50 and Above";"New";"2013-09-17";152;67.0;22.33
210;"AW00011209";"Allison Evans";72;2;37.0;2.0;2;9;"50 and Above";"New";"2014-01-22";148;18.5;4.11
211;"AW00011210";"Edward Wood";72;2;70.0;5.0;5;4;"50 and Above";"New";"2013-09-06";152;35.0;17.5
212;"AW00011211";"Samantha Russell";65;17;792.0;33.0;22;11;"50 and Above";"New";"2014-01-07";148;46.59;72.0
213;"AW00011212";"Chloe Campbell";71;17;824.0;33.0;20;11;"50 and Above";"New";"2014-01-17";148;48.47;74.91
214;"AW00011213";"Stephanie Murphy";71;2;77.0;4.0;4;5;"50 and Above";"New";"2013-09-09";152;38.5;15.4
215;"AW00011214";"Charles Miller";71;2;162.0;4.0;4;3;"50 and Above";"New";"2013-11-19";150;81.0;54.0
216;"AW00011215";"Ana Perry";64;17;1154.0;32.0;21;10;"50 and Above";"New";"2013-12-15";149;67.88;115.4
217;"AW00011216";"Jasmine Torres";70;2;5948.0;5.0;5;17;"50 and Above";"VIP";"2013-02-05";159;2974.0;349.88
